策略,N,K1,K2,可交易天数,交易次数,覆盖率,胜率,平均收益BP,中位收益BP,累计收益,最大回撤
DualThrust_N3_K10_10,3,0.1,0.1,1537,1526,0.9928,0.5596,16.23,15.32,9.6765,-0.1701
DualThrust_N3_K20_20,3,0.2,0.2,1537,1355,0.8816,0.5904,17.44,18.92,8.7985,-0.1315
DualThrust_N5_K10_10,5,0.1,0.1,1535,1492,0.972,0.5623,15.55,13.53,8.213,-0.1795
DualThrust_N3_K30_30,3,0.3,0.3,1537,1084,0.7053,0.6301,20.55,17.72,7.7889,-0.1098
DualThrust_N5_K20_20,5,0.2,0.2,1535,1141,0.7433,0.61,17.72,18.42,6.0984,-0.1206
DualThrust_N10_K10_10,10,0.1,0.1,1530,1345,0.8791,0.5695,14.98,14.13,5.9188,-0.1788
DualThrust_N20_K10_10,20,0.1,0.1,1520,1048,0.6895,0.5983,17.12,16.08,4.6959,-0.1988
DualThrust_N3_K40_40,3,0.4,0.4,1537,839,0.5459,0.615,18.51,14.84,3.551,-0.1089
DualThrust_N10_K20_20,10,0.2,0.2,1530,755,0.4935,0.6344,19.37,15.27,3.1702,-0.1018
DualThrust_N5_K30_30,5,0.3,0.3,1535,799,0.5205,0.6083,17.27,11.13,2.8367,-0.0929
DualThrust_N3_K50_50,3,0.5,0.5,1537,635,0.4131,0.589,12.63,11.92,1.1687,-0.1139
DualThrust_N20_K20_20,20,0.2,0.2,1520,381,0.2507,0.6194,18.09,14.76,0.9634,-0.0937
DualThrust_N10_K30_30,10,0.3,0.3,1530,379,0.2477,0.6121,18.13,18.14,0.96,-0.0438
DualThrust_N5_K40_40,5,0.4,0.4,1535,513,0.3342,0.5965,13.52,16.02,0.9523,-0.1023
DualThrust_N5_K50_50,5,0.5,0.5,1535,321,0.2091,0.6449,18.42,20.92,0.784,-0.0477
DualThrust_N10_K40_40,10,0.4,0.4,1530,191,0.1248,0.6649,13.15,16.26,0.2754,-0.0513
DualThrust_N10_K50_50,10,0.5,0.5,1530,95,0.0621,0.6421,5.47,9.98,0.0491,-0.0796
DualThrust_N20_K30_30,20,0.3,0.3,1520,135,0.0888,0.5407,1.95,3.18,0.0209,-0.0823
DualThrust_N20_K50_50,20,0.5,0.5,1520,18,0.0118,0.6111,-25.01,24.04,-0.0455,-0.0794
DualThrust_N20_K40_40,20,0.4,0.4,1520,52,0.0342,0.5577,-16.17,7.4,-0.0841,-0.115
