策略A,策略B,样本,天数,A交易天数,B交易天数,Pearson,Spearman,同涨同跌占比
RBreaker_S0.3,DualThrust_N5K0.2,全日历日，空仓收益按0,2326,1203,1141,0.7094,0.7189,0.3818
RBreaker_S0.3,DualThrust_N5K0.2,双方都有交易的日期,1027,1027,1027,0.7305,0.8418,0.8647
RBreaker_S0.3,DualThrust_N5K0.2,RBreaker_S0.3有交易的日期,1203,1203,1027,0.7156,0.809,0.7382
RBreaker_S0.3,DualThrust_N5K0.2,DualThrust_N5K0.2有交易的日期,1141,1027,1141,0.7222,0.8245,0.7783
RBreaker_S0.3,DualThrust_N5K0.2,月度收益,77,,,0.7,0.6647,0.8701
RBreaker_S0.3,ATR_BREAK_N5_T30,全日历日，空仓收益按0,2326,1203,1528,0.6073,0.5998,0.4097
RBreaker_S0.3,ATR_BREAK_N5_T30,双方都有交易的日期,1196,1196,1196,0.62,0.693,0.7968
RBreaker_S0.3,ATR_BREAK_N5_T30,RBreaker_S0.3有交易的日期,1203,1203,1196,0.6199,0.6922,0.7922
RBreaker_S0.3,ATR_BREAK_N5_T30,ATR_BREAK_N5_T30有交易的日期,1528,1196,1528,0.6044,0.6358,0.6237
RBreaker_S0.3,ATR_BREAK_N5_T30,月度收益,77,,,0.5435,0.4979,0.8571
DualThrust_N5K0.2,ATR_BREAK_N5_T30,全日历日，空仓收益按0,2326,1141,1528,0.4599,0.5412,0.3792
DualThrust_N5K0.2,ATR_BREAK_N5_T30,双方都有交易的日期,1136,1136,1136,0.4734,0.6343,0.7764
DualThrust_N5K0.2,ATR_BREAK_N5_T30,DualThrust_N5K0.2有交易的日期,1141,1141,1136,0.473,0.6331,0.773
DualThrust_N5K0.2,ATR_BREAK_N5_T30,ATR_BREAK_N5_T30有交易的日期,1528,1136,1528,0.4565,0.5725,0.5772
DualThrust_N5K0.2,ATR_BREAK_N5_T30,月度收益,77,,,0.2021,0.2781,0.8052
