symbol,strategy_a,strategy_b,sample,days,pearson,spearman
000905.XSHG,RBreaker_S0.3,DualThrust_N5K0.2,all_calendar,2326,0.748,0.7294
000905.XSHG,RBreaker_S0.3,DualThrust_N5K0.2,common_active,1030,0.7769,0.8399
000905.XSHG,RBreaker_S0.3,DualThrust_N5K0.2,monthly,77,0.6746,0.6394
000905.XSHG,RBreaker_S0.3,ATR_BREAK_N5_T30,all_calendar,2326,0.6641,0.6015
000905.XSHG,RBreaker_S0.3,ATR_BREAK_N5_T30,common_active,1178,0.6826,0.6971
000905.XSHG,RBreaker_S0.3,ATR_BREAK_N5_T30,monthly,77,0.5522,0.4986
000905.XSHG,DualThrust_N5K0.2,ATR_BREAK_N5_T30,all_calendar,2326,0.5061,0.5138
000905.XSHG,DualThrust_N5K0.2,ATR_BREAK_N5_T30,common_active,1150,0.5276,0.6102
000905.XSHG,DualThrust_N5K0.2,ATR_BREAK_N5_T30,monthly,77,0.3097,0.3296
399006.XSHE,RBreaker_S0.3,DualThrust_N5K0.2,all_calendar,2326,0.754,0.7205
399006.XSHE,RBreaker_S0.3,DualThrust_N5K0.2,common_active,1061,0.7929,0.8314
399006.XSHE,RBreaker_S0.3,DualThrust_N5K0.2,monthly,77,0.6942,0.7157
399006.XSHE,RBreaker_S0.3,ATR_BREAK_N5_T30,all_calendar,2326,0.6275,0.6022
399006.XSHE,RBreaker_S0.3,ATR_BREAK_N5_T30,common_active,1202,0.6436,0.6949
399006.XSHE,RBreaker_S0.3,ATR_BREAK_N5_T30,monthly,77,0.577,0.5822
399006.XSHE,DualThrust_N5K0.2,ATR_BREAK_N5_T30,all_calendar,2326,0.4989,0.5073
399006.XSHE,DualThrust_N5K0.2,ATR_BREAK_N5_T30,common_active,1158,0.5172,0.5912
399006.XSHE,DualThrust_N5K0.2,ATR_BREAK_N5_T30,monthly,77,0.3543,0.4024
